Model,Accuracy,AUC,Recall,Prec.,F1
XGB,0.9745,0.9979,0.9745,0.9745,0.9745
CB,0.9744,0.9978,0.9744,0.9744,0.9744
LGBM,0.9731,0.9976,0.9731,0.9731,0.9731
RF,0.9686,0.9967,0.9686,0.9686,0.9686
ET,0.9663,0.9965,0.9663,0.9664,0.9663
GBC,0.961,0.9947,0.961,0.961,0.961
DT,0.9571,0.9879,0.9571,0.9571,0.9571
ADA,0.9413,0.9887,0.9413,0.9413,0.9413
KNN,0.9004,0.9724,0.9004,0.9004,0.9004
SVM,0.887,0.9652,0.887,0.8873,0.8869
LR,0.8862,0.9651,0.8862,0.8861,0.8861
RIDGE,0.8632,0.9529,0.8632,0.8636,0.863
LDA,0.8632,0.9529,0.8632,0.8636,0.8629
QDA,0.8482,0.953,0.8482,0.8694,0.8445
NB,0.7993,0.8807,0.7993,0.8006,0.7983
