Model,Accuracy,AUC,Recall,Prec.,F1
CB,0.974,0.9978,0.974,0.9741,0.974
XGB,0.9729,0.9977,0.9729,0.9729,0.9729
LGBM,0.9724,0.9975,0.9724,0.9725,0.9724
RF,0.9685,0.9967,0.9685,0.9685,0.9684
ET,0.9654,0.9964,0.9654,0.9656,0.9653
GBC,0.9607,0.9945,0.9607,0.9607,0.9607
DT,0.9444,0.9441,0.9444,0.9444,0.9444
ADA,0.9342,0.9865,0.9342,0.9344,0.9342
KNN,0.8994,0.9666,0.8994,0.8994,0.8993
SVM,0.8875,0.9644,0.8875,0.8876,0.8874
LR,0.8863,0.9651,0.8863,0.8863,0.8862
RIDGE,0.86,0.9529,0.86,0.8622,0.8593
LDA,0.8598,0.9529,0.8598,0.862,0.8591
QDA,0.8508,0.953,0.8508,0.8708,0.8473
NB,0.7993,0.881,0.7993,0.8007,0.7982
