Model,Accuracy,AUC,Recall,Prec.,F1
CB,0.9735,0.9976,0.9735,0.9735,0.9735
XGB,0.9719,0.9975,0.9719,0.9719,0.9719
LGBM,0.9709,0.9971,0.9709,0.9709,0.9709
RF,0.9663,0.9964,0.9663,0.9664,0.9663
ET,0.9655,0.9963,0.9655,0.9656,0.9655
GBC,0.9575,0.994,0.9575,0.9575,0.9575
DT,0.9434,0.9431,0.9434,0.9434,0.9434
ADA,0.9353,0.9861,0.9353,0.9354,0.9352
KNN,0.897,0.9658,0.897,0.897,0.897
LR,0.8842,0.9634,0.8842,0.8842,0.8842
SVM,0.8749,0.0,0.8749,0.8808,0.8737
RIDGE,0.8591,0.0,0.8591,0.8614,0.8584
LDA,0.859,0.9521,0.859,0.8614,0.8583
QDA,0.851,0.9537,0.851,0.8717,0.8475
NB,0.7992,0.882,0.7992,0.801,0.798
